id,dayNumber,durationMinutes,attenuationRiskValue,initialRiskLevel,totalRiskValue,api_level,android_version,brand,model,user_id,timestamp,contact_date
8247,18589,30,28,2,210,29,10,HUAWEI,LIO-L29,4179b801a26f7905,12/7/2020 2:58,11/23/2020 0:00
8257,18589,30,28,2,210,29,10,HUAWEI,LIO-L29,4179b801a26f7905,12/7/2020 2:59,11/23/2020 0:00
8267,18589,30,28,2,210,29,10,HUAWEI,LIO-L29,4179b801a26f7905,12/7/2020 3:00,11/23/2020 0:00
8277,18589,30,28,2,210,29,10,HUAWEI,LIO-L29,4179b801a26f7905,12/7/2020 3:00,11/23/2020 0:00
8421,18589,30,28,2,210,29,10,HUAWEI,LIO-L29,4179b801a26f7905,12/7/2020 6:27,11/23/2020 0:00
8435,18589,30,28,2,70,29,10,HUAWEI,LIO-L29,4179b801a26f7905,12/7/2020 6:27,11/23/2020 0:00
8445,18589,30,28,2,210,29,10,HUAWEI,LIO-L29,4179b801a26f7905,12/7/2020 6:28,11/23/2020 0:00
8459,18589,30,28,2,70,29,10,HUAWEI,LIO-L29,4179b801a26f7905,12/7/2020 6:28,11/23/2020 0:00
8469,18589,30,28,2,210,29,10,HUAWEI,LIO-L29,4179b801a26f7905,12/7/2020 6:30,11/23/2020 0:00
8483,18589,30,28,2,70,29,10,HUAWEI,LIO-L29,4179b801a26f7905,12/7/2020 6:30,11/23/2020 0:00
8521,18589,30,28,2,210,29,10,HUAWEI,LIO-L29,4179b801a26f7905,12/7/2020 7:59,11/23/2020 0:00
8535,18589,30,28,2,70,29,10,HUAWEI,LIO-L29,4179b801a26f7905,12/7/2020 7:59,11/23/2020 0:00
9025,18589,30,28,2,210,29,10,HUAWEI,LIO-L29,4179b801a26f7905,12/7/2020 8:32,11/23/2020 0:00
9039,18589,30,28,2,70,29,10,HUAWEI,LIO-L29,4179b801a26f7905,12/7/2020 8:32,11/23/2020 0:00
9146,18589,30,28,2,210,29,10,HUAWEI,LIO-L29,4179b801a26f7905,12/8/2020 3:00,11/23/2020 0:00
9160,18589,30,28,2,70,29,10,HUAWEI,LIO-L29,4179b801a26f7905,12/8/2020 3:00,11/23/2020 0:00
9259,18589,30,28,2,210,29,10,HUAWEI,LIO-L29,4179b801a26f7905,12/8/2020 3:01,11/23/2020 0:00
9273,18589,30,28,2,70,29,10,HUAWEI,LIO-L29,4179b801a26f7905,12/8/2020 3:01,11/23/2020 0:00
9824,18589,30,28,2,210,29,10,HUAWEI,LIO-L29,4179b801a26f7905,12/8/2020 7:46,11/23/2020 0:00
9838,18589,30,28,2,70,29,10,HUAWEI,LIO-L29,4179b801a26f7905,12/8/2020 7:46,11/23/2020 0:00
10151,18589,30,28,2,210,29,10,HUAWEI,LIO-L29,4179b801a26f7905,12/8/2020 8:52,11/23/2020 0:00
10165,18589,30,28,2,70,29,10,HUAWEI,LIO-L29,4179b801a26f7905,12/8/2020 8:52,11/23/2020 0:00
10201,18589,30,28,2,210,29,10,HUAWEI,LIO-L29,4179b801a26f7905,12/8/2020 8:52,11/23/2020 0:00
10215,18589,30,28,2,70,29,10,HUAWEI,LIO-L29,4179b801a26f7905,12/8/2020 8:52,11/23/2020 0:00
10251,18589,30,28,2,210,29,10,HUAWEI,LIO-L29,4179b801a26f7905,12/8/2020 8:54,11/23/2020 0:00
10265,18589,30,28,2,70,29,10,HUAWEI,LIO-L29,4179b801a26f7905,12/8/2020 8:54,11/23/2020 0:00
10301,18589,30,28,2,210,29,10,HUAWEI,LIO-L29,4179b801a26f7905,12/8/2020 10:07,11/23/2020 0:00
10315,18589,30,28,2,70,29,10,HUAWEI,LIO-L29,4179b801a26f7905,12/8/2020 10:07,11/23/2020 0:00
10887,18589,30,28,2,210,29,10,HUAWEI,LIO-L29,4179b801a26f7905,12/9/2020 3:16,11/23/2020 0:00
10901,18589,30,28,2,70,29,10,HUAWEI,LIO-L29,4179b801a26f7905,12/9/2020 3:16,11/23/2020 0:00
10939,18589,30,28,2,210,29,10,HUAWEI,LIO-L29,4179b801a26f7905,12/9/2020 3:16,11/23/2020 0:00
10953,18589,30,28,2,70,29,10,HUAWEI,LIO-L29,4179b801a26f7905,12/9/2020 3:16,11/23/2020 0:00
11248,18589,30,28,2,210,29,10,HUAWEI,LIO-L29,4179b801a26f7905,12/9/2020 7:57,11/23/2020 0:00
11262,18589,30,28,2,70,29,10,HUAWEI,LIO-L29,4179b801a26f7905,12/9/2020 7:57,11/23/2020 0:00
11739,18589,30,28,2,210,29,10,HUAWEI,LIO-L29,4179b801a26f7905,12/10/2020 2:51,11/23/2020 0:00
11753,18589,30,28,2,70,29,10,HUAWEI,LIO-L29,4179b801a26f7905,12/10/2020 2:51,11/23/2020 0:00
12087,18589,30,28,2,210,29,10,HUAWEI,LIO-L29,4179b801a26f7905,12/10/2020 8:02,11/23/2020 0:00
12101,18589,30,28,2,70,29,10,HUAWEI,LIO-L29,4179b801a26f7905,12/10/2020 8:02,11/23/2020 0:00
12344,18589,30,28,2,210,29,10,HUAWEI,LIO-L29,4179b801a26f7905,12/10/2020 8:09,11/23/2020 0:00
12358,18589,30,28,2,70,29,10,HUAWEI,LIO-L29,4179b801a26f7905,12/10/2020 8:09,11/23/2020 0:00
12440,18589,30,28,2,210,29,10,HUAWEI,LIO-L29,4179b801a26f7905,12/10/2020 10:57,11/23/2020 0:00
12454,18589,30,28,2,70,29,10,HUAWEI,LIO-L29,4179b801a26f7905,12/10/2020 10:57,11/23/2020 0:00
12491,18589,30,28,2,210,29,10,HUAWEI,LIO-L29,4179b801a26f7905,12/11/2020 2:36,11/23/2020 0:00
12505,18589,30,28,2,70,29,10,HUAWEI,LIO-L29,4179b801a26f7905,12/11/2020 2:36,11/23/2020 0:00
62,18590,6,53,2,144,29,10,HUAWEI,LIO-L29,4179b801a26f7905,11/24/2020 6:35,11/24/2020 0:00
64,18590,6,53,2,144,29,10,HUAWEI,LIO-L29,4179b801a26f7905,11/24/2020 6:35,11/24/2020 0:00
66,18590,6,53,2,144,29,10,HUAWEI,LIO-L29,4179b801a26f7905,11/24/2020 6:35,11/24/2020 0:00
68,18590,6,53,2,144,29,10,HUAWEI,LIO-L29,4179b801a26f7905,11/24/2020 6:35,11/24/2020 0:00
70,18590,6,53,2,144,29,10,HUAWEI,LIO-L29,4179b801a26f7905,11/24/2020 6:35,11/24/2020 0:00
72,18590,6,53,2,144,29,10,HUAWEI,LIO-L29,4179b801a26f7905,11/24/2020 6:35,11/24/2020 0:00
74,18590,6,53,2,144,29,10,HUAWEI,LIO-L29,4179b801a26f7905,11/24/2020 6:35,11/24/2020 0:00
76,18590,6,53,2,144,29,10,HUAWEI,LIO-L29,4179b801a26f7905,11/24/2020 6:35,11/24/2020 0:00
78,18590,6,53,2,144,29,10,HUAWEI,LIO-L29,4179b801a26f7905,11/24/2020 6:35,11/24/2020 0:00
80,18590,6,53,2,144,29,10,HUAWEI,LIO-L29,4179b801a26f7905,11/24/2020 6:35,11/24/2020 0:00
82,18590,6,53,2,144,29,10,HUAWEI,LIO-L29,4179b801a26f7905,11/24/2020 6:35,11/24/2020 0:00
84,18590,6,53,2,144,29,10,HUAWEI,LIO-L29,4179b801a26f7905,11/24/2020 6:35,11/24/2020 0:00
86,18590,6,53,2,144,29,10,HUAWEI,LIO-L29,4179b801a26f7905,11/24/2020 6:35,11/24/2020 0:00
88,18590,6,53,2,144,29,10,HUAWEI,LIO-L29,4179b801a26f7905,11/24/2020 6:35,11/24/2020 0:00
90,18590,6,53,2,144,29,10,HUAWEI,LIO-L29,4179b801a26f7905,11/24/2020 6:35,11/24/2020 0:00
92,18590,6,53,2,144,29,10,HUAWEI,LIO-L29,4179b801a26f7905,11/24/2020 6:36,11/24/2020 0:00
94,18590,6,53,2,144,29,10,HUAWEI,LIO-L29,4179b801a26f7905,11/24/2020 6:36,11/24/2020 0:00
96,18590,6,53,2,144,29,10,HUAWEI,LIO-L29,4179b801a26f7905,11/24/2020 6:36,11/24/2020 0:00
98,18590,6,53,2,144,29,10,HUAWEI,LIO-L29,4179b801a26f7905,11/24/2020 6:36,11/24/2020 0:00
100,18590,6,53,2,144,29,10,HUAWEI,LIO-L29,4179b801a26f7905,11/24/2020 6:36,11/24/2020 0:00
102,18590,6,53,2,144,29,10,HUAWEI,LIO-L29,4179b801a26f7905,11/24/2020 6:36,11/24/2020 0:00
104,18590,6,53,2,144,29,10,HUAWEI,LIO-L29,4179b801a26f7905,11/24/2020 6:36,11/24/2020 0:00
106,18590,6,53,2,144,29,10,HUAWEI,LIO-L29,4179b801a26f7905,11/24/2020 6:36,11/24/2020 0:00
108,18590,6,53,2,144,29,10,HUAWEI,LIO-L29,4179b801a26f7905,11/24/2020 6:36,11/24/2020 0:00
110,18590,6,53,2,144,29,10,HUAWEI,LIO-L29,4179b801a26f7905,11/24/2020 6:36,11/24/2020 0:00
112,18590,6,53,2,144,29,10,HUAWEI,LIO-L29,4179b801a26f7905,11/24/2020 6:36,11/24/2020 0:00
114,18590,6,53,2,144,29,10,HUAWEI,LIO-L29,4179b801a26f7905,11/24/2020 6:36,11/24/2020 0:00
116,18590,6,53,2,144,29,10,HUAWEI,LIO-L29,4179b801a26f7905,11/24/2020 6:36,11/24/2020 0:00
118,18590,6,53,2,144,29,10,HUAWEI,LIO-L29,4179b801a26f7905,11/24/2020 6:36,11/24/2020 0:00
120,18590,6,53,2,144,29,10,HUAWEI,LIO-L29,4179b801a26f7905,11/24/2020 6:36,11/24/2020 0:00
122,18590,6,53,2,144,29,10,HUAWEI,LIO-L29,4179b801a26f7905,11/24/2020 6:36,11/24/2020 0:00
124,18590,6,53,2,144,29,10,HUAWEI,LIO-L29,4179b801a26f7905,11/24/2020 6:36,11/24/2020 0:00
126,18590,6,53,2,144,29,10,HUAWEI,LIO-L29,4179b801a26f7905,11/24/2020 6:36,11/24/2020 0:00
128,18590,6,53,2,144,29,10,HUAWEI,LIO-L29,4179b801a26f7905,11/24/2020 6:36,11/24/2020 0:00
130,18590,6,53,2,144,29,10,HUAWEI,LIO-L29,4179b801a26f7905,11/24/2020 6:36,11/24/2020 0:00
132,18590,6,53,2,144,29,10,HUAWEI,LIO-L29,4179b801a26f7905,11/24/2020 6:36,11/24/2020 0:00
134,18590,6,53,2,144,29,10,HUAWEI,LIO-L29,4179b801a26f7905,11/24/2020 6:36,11/24/2020 0:00
136,18590,6,53,2,144,29,10,HUAWEI,LIO-L29,4179b801a26f7905,11/24/2020 6:36,11/24/2020 0:00
138,18590,6,53,2,144,29,10,HUAWEI,LIO-L29,4179b801a26f7905,11/24/2020 6:36,11/24/2020 0:00
140,18590,6,53,2,144,29,10,HUAWEI,LIO-L29,4179b801a26f7905,11/24/2020 6:36,11/24/2020 0:00
142,18590,6,53,2,144,29,10,HUAWEI,LIO-L29,4179b801a26f7905,11/24/2020 6:36,11/24/2020 0:00
144,18590,6,53,2,144,29,10,HUAWEI,LIO-L29,4179b801a26f7905,11/24/2020 6:36,11/24/2020 0:00
146,18590,6,53,2,144,29,10,HUAWEI,LIO-L29,4179b801a26f7905,11/24/2020 6:36,11/24/2020 0:00
148,18590,6,53,2,144,29,10,HUAWEI,LIO-L29,4179b801a26f7905,11/24/2020 6:36,11/24/2020 0:00
150,18590,6,53,2,144,29,10,HUAWEI,LIO-L29,4179b801a26f7905,11/24/2020 6:36,11/24/2020 0:00
152,18590,6,53,2,144,29,10,HUAWEI,LIO-L29,4179b801a26f7905,11/24/2020 6:36,11/24/2020 0:00
154,18590,6,53,2,144,29,10,HUAWEI,LIO-L29,4179b801a26f7905,11/24/2020 6:36,11/24/2020 0:00
345,18590,8,44,2,192,29,10,HUAWEI,LIO-L29,4179b801a26f7905,11/25/2020 3:18,11/24/2020 0:00
